caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000979.pid	1707032	2d1dbcb056034ffa19780976a94107e6	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000979.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000978.pds	1526192	1525095527a433310695cfceb3d1b04e	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000978.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000977.pds	6430480	de37b0801f5b87f783057fe95d572201	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000977.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000977.pid	1688768	868a4a4da0e00a665ac4d42c30c946f1	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000977.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000000.pds	7457184	c4db5f30f9a8e244d232b4d3d34aeedc	Cosworth PI	pds		F3	2026-09-11		Trabalho/Porsche_Cup/2026/analise/Telemetria_Real/Formula_3/Geral/P.Piquet000000.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000000.pid	1959684	b06362bff374f60c5120558bf81417e4	Cosworth PI	pid		F3	2026-09-11		Trabalho/Porsche_Cup/2026/analise/Telemetria_Real/Formula_3/Geral/P.Piquet000000.pid
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000001.pds	6107312	c37e4c0c8bf9b69841bf6a9eb7246736	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000001.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000976.pds	1768448	b43adf7380cc9e71328277ce2ec8bd31	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000976.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000975.pds	1803056	bd50b70596d0a5908135eb2cbe813074	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000975.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000974.pds	5183104	7efb199e004e1d0d835f0e8758827ca0	Cosworth PI	pds		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000974.pds
_QUARENTENA/dedup-drive-2026-09-11/Trabalho/Telemetria/dados_telemetria/telemetria/F3/P.Piquet/P.Piquet000974.pid	1360016	6a8409071ecfe54f5f56f9162daee324	Cosworth PI	pid		F3	2026-09-11		Trabalho/Telemetria/F3/Geral/P.Piquet000974.pid
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Tyres.i2wkb	5635	1ab4913797911099c4f8190dec8f515d	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Brakes.i2wkb	11771	47511160f06ad33321e1ace7df7b0297	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Engine.i2wkb	40897	65da94109b4400c51d26a296a0c82017	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Driver.i2wkb	24623	242897d4f0b1d8de0d3c42fe4983a305	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Samples.i2wkb	12560	eed52df1e27ff1733932ca9910dce848	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Suspension.i2wkb	12257	a87fc6b96f6242adcda5167e8fe5b931	MoTeC	i2wkb					
